secondary_study_accession	experiment_alias	fastq_ftp
ERP001256	MRSA_10C	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/ERR101899/ERR101899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/ERR101899/ERR101899_2.fastq.gz
ERP001256	MRSA_11C	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/ERR101900/ERR101900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/ERR101900/ERR101900_2.fastq.gz
ERP001256	MRSA_12C	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103394/ERR103394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103394/ERR103394_2.fastq.gz
ERP001256	MRSA_14C	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103395/ERR103395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103395/ERR103395_2.fastq.gz
ERP001256	MRSA_15C	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103396/ERR103396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103396/ERR103396_2.fastq.gz
ERP001256	MRSA_16B	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103397/ERR103397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103397/ERR103397_2.fastq.gz
ERP001256	MRSA_17B	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103398/ERR103398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103398/ERR103398_2.fastq.gz
ERP001256	MRSA_19B	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103400/ERR103400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103400/ERR103400_2.fastq.gz
ERP001256	MRSA_1B	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103401/ERR103401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103401/ERR103401_2.fastq.gz
ERP001256	MRSA_20B	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103402/ERR103402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103402/ERR103402_2.fastq.gz
ERP001256	MRSA_6C	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103403/ERR103403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103403/ERR103403_2.fastq.gz
ERP001256	MRSA_7C	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103404/ERR103404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103404/ERR103404_2.fastq.gz
ERP001256	MRSA_8C	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103405/ERR103405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103405/ERR103405_2.fastq.gz
ERP001256	MRSA_18B	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159680/ERR159680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159680/ERR159680_2.fastq.gz
