study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_alias
PRJEB2912	SAMEA1466728	ERS100431	ERX079897	ERR101899	1280	Staphylococcus aureus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/ERR101899/ERR101899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/ERR101899/ERR101899_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/ERR101899/ERR101899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/ERR101899/ERR101899_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA094/ERA094224/srf/110624_M10_0151_AA023F-1.srf	ftp.sra.ebi.ac.uk/vol1/ERA094/ERA094224/srf/110624_M10_0151_AA023F-1.srf	ftp.sra.ebi.ac.uk/vol1/err/ERR101/ERR101899	ftp.sra.ebi.ac.uk/vol1/err/ERR101/ERR101899			MRSA_10C
PRJEB2912	SAMEA1466718	ERS100432	ERX079898	ERR101900	1280	Staphylococcus aureus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/ERR101900/ERR101900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/ERR101900/ERR101900_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/ERR101900/ERR101900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/ERR101900/ERR101900_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA094/ERA094225/srf/110624_M10_0151_AA023F-1_MRSA_11C.srf	ftp.sra.ebi.ac.uk/vol1/ERA094/ERA094225/srf/110624_M10_0151_AA023F-1_MRSA_11C.srf	ftp.sra.ebi.ac.uk/vol1/err/ERR101/ERR101900	ftp.sra.ebi.ac.uk/vol1/err/ERR101/ERR101900			MRSA_11C
PRJEB2912	SAMEA1466717	ERS100433	ERX080830	ERR103394	1280	Staphylococcus aureus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103394/ERR103394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103394/ERR103394_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103394/ERR103394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103394/ERR103394_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA097/ERA097835/srf/110624_M10_0151_AA023F-1_MRSA_12C.srf	ftp.sra.ebi.ac.uk/vol1/ERA097/ERA097835/srf/110624_M10_0151_AA023F-1_MRSA_12C.srf	ftp.sra.ebi.ac.uk/vol1/err/ERR103/ERR103394	ftp.sra.ebi.ac.uk/vol1/err/ERR103/ERR103394			MRSA_12C
PRJEB2912	SAMEA1466723	ERS100434	ERX080831	ERR103395	1280	Staphylococcus aureus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103395/ERR103395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103395/ERR103395_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103395/ERR103395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103395/ERR103395_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA097/ERA097837/srf/110624_M10_0151_AA023F-1_MRSA_14C.srf	ftp.sra.ebi.ac.uk/vol1/ERA097/ERA097837/srf/110624_M10_0151_AA023F-1_MRSA_14C.srf	ftp.sra.ebi.ac.uk/vol1/err/ERR103/ERR103395	ftp.sra.ebi.ac.uk/vol1/err/ERR103/ERR103395			MRSA_14C
PRJEB2912	SAMEA1466724	ERS100435	ERX080832	ERR103396	1280	Staphylococcus aureus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103396/ERR103396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103396/ERR103396_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103396/ERR103396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103396/ERR103396_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA097/ERA097838/srf/110624_M10_0151_AA023F-1_MRSA_15C.srf	ftp.sra.ebi.ac.uk/vol1/ERA097/ERA097838/srf/110624_M10_0151_AA023F-1_MRSA_15C.srf	ftp.sra.ebi.ac.uk/vol1/err/ERR103/ERR103396	ftp.sra.ebi.ac.uk/vol1/err/ERR103/ERR103396			MRSA_15C
PRJEB2912	SAMEA1466722	ERS100436	ERX080833	ERR103397	1280	Staphylococcus aureus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103397/ERR103397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103397/ERR103397_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103397/ERR103397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103397/ERR103397_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA097/ERA097839/srf/110624_M10_0151_AA023F-1_MRSA_16B.srf	ftp.sra.ebi.ac.uk/vol1/ERA097/ERA097839/srf/110624_M10_0151_AA023F-1_MRSA_16B.srf	ftp.sra.ebi.ac.uk/vol1/err/ERR103/ERR103397	ftp.sra.ebi.ac.uk/vol1/err/ERR103/ERR103397			MRSA_16B
PRJEB2912	SAMEA1466719	ERS100437	ERX080834	ERR103398	1280	Staphylococcus aureus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103398/ERR103398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103398/ERR103398_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103398/ERR103398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103398/ERR103398_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA097/ERA097840/srf/110715_M21_0015_AA02B6-1_MRSA_17B.srf	ftp.sra.ebi.ac.uk/vol1/ERA097/ERA097840/srf/110715_M21_0015_AA02B6-1_MRSA_17B.srf	ftp.sra.ebi.ac.uk/vol1/err/ERR103/ERR103398	ftp.sra.ebi.ac.uk/vol1/err/ERR103/ERR103398			MRSA_17B
PRJEB2912	SAMEA1466729	ERS100439	ERX080836	ERR103400	1280	Staphylococcus aureus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103400/ERR103400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103400/ERR103400_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103400/ERR103400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103400/ERR103400_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA097/ERA097842/srf/110715_M21_0015_AA02B6-1_MRSA_19B.srf	ftp.sra.ebi.ac.uk/vol1/ERA097/ERA097842/srf/110715_M21_0015_AA02B6-1_MRSA_19B.srf	ftp.sra.ebi.ac.uk/vol1/err/ERR103/ERR103400	ftp.sra.ebi.ac.uk/vol1/err/ERR103/ERR103400			MRSA_19B
PRJEB2912	SAMEA1466726	ERS100427	ERX080837	ERR103401	1280	Staphylococcus aureus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103401/ERR103401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103401/ERR103401_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103401/ERR103401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103401/ERR103401_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA097/ERA097843/srf/110715_M21_0015_AA02B6-1_MRSA_1B.srf	ftp.sra.ebi.ac.uk/vol1/ERA097/ERA097843/srf/110715_M21_0015_AA02B6-1_MRSA_1B.srf	ftp.sra.ebi.ac.uk/vol1/err/ERR103/ERR103401	ftp.sra.ebi.ac.uk/vol1/err/ERR103/ERR103401			MRSA_1B
PRJEB2912	SAMEA1466721	ERS100440	ERX080838	ERR103402	1280	Staphylococcus aureus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103402/ERR103402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103402/ERR103402_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103402/ERR103402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/ERR103402/ERR103402_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA097/ERA097844/srf/110624_M10_0151_AA023F-1_MRSA_20B.srf	ftp.sra.ebi.ac.uk/vol1/ERA097/ERA097844/srf/110624_M10_0151_AA023F-1_MRSA_20B.srf	ftp.sra.ebi.ac.uk/vol1/err/ERR103/ERR103402	ftp.sra.ebi.ac.uk/vol1/err/ERR103/ERR103402			MRSA_20B
